iter	Passed	Remaining
412	3272	2274
413	3278	2265
414	3285	2255
415	3291	2247
416	3297	2237
417	3303	2228
418	3309	2219
419	3315	2210
420	3321	2201
421	3327	2192
422	3334	2183
423	3340	2174
424	3346	2165
425	3353	2156
426	3359	2147
427	3364	2138
428	3371	2129
429	3377	2120
430	3383	2111
431	3389	2102
432	3395	2093
433	3403	2085
434	3409	2076
435	3415	2068
436	3421	2059
437	3428	2050
438	3434	2041
439	3440	2032
440	3447	2024
441	3453	2015
442	3459	2007
443	3465	1998
444	3472	1989
445	3478	1981
446	3485	1972
447	3491	1963
448	3499	1956
449	3505	1947
450	3511	1938
451	3518	1930
452	3524	1921
453	3531	1913
454	3538	1905
455	3544	1896
456	3550	1887
457	3557	1879
458	3564	1871
459	3570	1863
460	3577	1854
461	3585	1847
462	3592	1839
463	3599	1830
464	3605	1822
465	3611	1813
466	3618	1805
467	3624	1796
468	3630	1788
469	3636	1779
470	3642	1771
471	3649	1762
472	3655	1754
473	3661	1746
474	3667	1737
475	3674	1728
476	3680	1720
477	3686	1712
478	3693	1703
479	3699	1695
480	3706	1687
481	3712	1679
482	3719	1670
483	3724	1662
484	3730	1653
485	3736	1645
486	3743	1637
487	3749	1629
488	3756	1620
489	3762	1612
490	3769	1604
491	3774	1595
492	3780	1587
493	3786	1578
494	3792	1570
495	3799	1562
496	3805	1554
497	3812	1546
498	3818	1538
499	3825	1530
500	3832	1522
501	3838	1513
502	3844	1505
503	3850	1497
504	3856	1489
505	3863	1481
506	3870	1473
507	3877	1465
508	3883	1457
509	3889	1448
510	3896	1441
511	3902	1432
512	3908	1424
513	3913	1416
514	3920	1408
515	3926	1400
516	3933	1392
517	3939	1383
518	3945	1375
519	3952	1368
520	3958	1360
521	3964	1351
522	3970	1343
523	3976	1335
524	3982	1327
525	3988	1319
526	3993	1311
527	4000	1303
528	4006	1295
529	4012	1287
530	4018	1278
531	4024	1270
532	4030	1262
533	4036	1254
534	4043	1247
535	4050	1239
536	4056	1231
537	4062	1223
538	4068	1215
539	4076	1207
540	4081	1199
541	4087	1191
542	4093	1183
543	4099	1175
544	4105	1167
545	4111	1159
546	4118	1151
547	4124	1144
548	4130	1136
549	4136	1128
550	4143	1120
551	4149	1112
552	4155	1104
553	4161	1096
554	4167	1088
555	4173	1081
556	4181	1073
557	4188	1065
558	4194	1057
559	4200	1050
560	4206	1042
561	4213	1034
562	4219	1026
563	4225	1018
564	4232	1011
565	4237	1003
566	4243	995
567	4249	987
568	4255	979
569	4261	971
570	4267	964
571	4273	956
572	4279	948
573	4285	940
574	4292	933
575	4298	925
576	4305	917
577	4311	910
578	4318	902
579	4324	894
580	4330	886
581	4336	879
582	4342	871
583	4348	863
584	4354	855
585	4359	848
586	4365	840
587	4372	832
588	4378	825
589	4386	817
590	4393	810
591	4399	802
592	4405	794
593	4410	787
594	4417	779
595	4424	772
596	4430	764
597	4436	756
598	4442	749
599	4448	741
600	4454	733
601	4461	726
602	4468	718
603	4474	711
604	4481	703
605	4487	696
606	4493	688
607	4499	680
608	4505	673
609	4512	665
610	4519	658
611	4525	650
612	4531	643
613	4538	635
614	4544	628
615	4550	620
616	4556	612
617	4561	605
618	4570	598
619	4577	590
620	4583	583
621	4591	575
622	4597	568
623	4603	560
624	4609	553
625	4616	545
626	4625	538
627	4636	531
628	4643	524
629	4652	516
630	4661	509
631	4667	502
632	4675	494
633	4682	487
634	4689	480
635	4695	472
636	4701	464
637	4707	457
638	4713	449
639	4719	442
640	4725	434
641	4732	427
642	4738	420
643	4743	412
644	4751	405
645	4758	397
646	4764	390
647	4770	382
648	4776	375
649	4782	367
650	4788	360
651	4794	352
652	4800	345
653	4806	338
654	4813	330
655	4820	323
656	4826	315
657	4832	308
658	4838	301
659	4844	293
660	4850	286
661	4856	278
662	4863	271
663	4870	264
664	4878	256
665	4886	249
666	4893	242
667	4900	234
668	4907	227
669	4914	220
670	4922	212
671	4929	205
672	4935	198
673	4941	190
674	4947	183
675	4953	175
676	4960	168
677	4966	161
678	4972	153
679	4979	146
680	4984	139
681	4990	131
682	4996	124
683	5003	117
684	5010	109
685	5016	102
686	5024	95
687	5031	87
688	5040	80
689	5048	73
690	5056	65
691	5064	58
692	5075	51
693	5083	43
694	5091	36
695	5100	29
696	5110	21
697	5119	14
698	5127	7
699	5135	0
