iter	RMSE
159	1.007965797
160	1.003519793
161	0.9984499529
162	0.9940995046
163	0.989143768
164	0.9838868794
165	0.9790383919
166	0.9749391151
167	0.9707008375
168	0.9658517634
169	0.9612676645
170	0.9567713064
171	0.9517813386
172	0.9471434884
173	0.9431822544
174	0.9389067925
175	0.9344724819
176	0.9296578107
177	0.9254800956
178	0.9211197704
179	0.9171172714
180	0.9135664621
181	0.9089484278
182	0.9054652784
183	0.9020848146
184	0.8983177962
185	0.8939809634
186	0.8905886539
187	0.8869303973
188	0.882054108
189	0.8787247193
190	0.8746776518
191	0.8711842552
192	0.8679771836
193	0.8641468225
194	0.8604508362
195	0.8570985044
196	0.8541541953
197	0.8511724414
198	0.8476630499
199	0.8447584499
200	0.8419500789
201	0.8382260703
202	0.835550858
203	0.8328339721
204	0.8293169498
205	0.8262604244
206	0.8237577915
207	0.8203449236
208	0.8171000057
209	0.8131957347
210	0.8106316325
211	0.8081538745
212	0.8049521474
213	0.8019819863
214	0.7995599595
215	0.79728891
216	0.7942989916
217	0.79147169
218	0.7885993608
219	0.7859142231
220	0.7836291103
221	0.7815376222
222	0.7790023477
223	0.7768914755
224	0.774087089
225	0.7716886358
226	0.7696471558
227	0.7670431943
228	0.7647690149
229	0.7625048883
230	0.7598259025
231	0.7579247296
232	0.7559938382
233	0.7535322515
234	0.7511410184
235	0.7492911991
236	0.7468012545
237	0.7447055094
238	0.742923506
239	0.7407014875
240	0.7389654799
241	0.7372533067
242	0.7356226711
243	0.7340059629
244	0.7320692296
245	0.7305276202
246	0.729094339
247	0.727231507
248	0.7257447302
249	0.7235093462
250	0.7220823567
251	0.7206042973
252	0.71850397
253	0.7170999635
254	0.7151384618
255	0.7131103474
256	0.7112204086
257	0.7095466865
258	0.7079009396
259	0.7066204583
260	0.7047066415
261	0.7034434279
262	0.7016907238
263	0.6999498633
264	0.6981417523
265	0.6965121349
266	0.6953242299
267	0.6941327321
268	0.6926365132
269	0.6914780257
270	0.6900747133
271	0.6885499662
272	0.6874745656
273	0.6858072823
274	0.6847649081
275	0.6837051639
276	0.682267295
277	0.6812441608
278	0.6798665905
279	0.6788858938
280	0.6779343627
281	0.6763717814
282	0.6754316738
283	0.6741806526
284	0.6732731998
285	0.6723701101
286	0.6714786445
287	0.6702853461
288	0.6690561046
289	0.6682145795
290	0.6667475676
291	0.6655627188
292	0.6647847801
293	0.663678835
294	0.6622982162
295	0.6612080765
296	0.6599084507
297	0.6591708558
298	0.6583962743
299	0.6571730859
300	0.6561388844
301	0.6551071524
302	0.6539374898
303	0.6528072729
304	0.6518382219
305	0.6511056003
306	0.6504342173
307	0.6495400372
308	0.6488450007
309	0.6481774311
310	0.6475104406
311	0.6461467851
312	0.6454897413
313	0.6448657932
314	0.6440031828
315	0.6434014152
316	0.6424726362
317	0.6415111639
318	0.6406917753
319	0.639850481
320	0.63926565
321	0.6387015058
322	0.6379640296
323	0.6373967926
324	0.636683326
325	0.6357681336
326	0.6348940444
327	0.6343517293
328	0.6332433372
329	0.6324417869
330	0.6319478622
331	0.6314483174
332	0.6306959185
333	0.6299720816
334	0.6293040259
335	0.6285599025
336	0.6280730084
337	0.6276077157
338	0.6268954941
339	0.6264333453
340	0.6259973191
341	0.6253231816
342	0.624678349
343	0.6242653245
344	0.6236025644
345	0.622982212
346	0.6225794319
347	0.6219479462
348	0.6215635298
349	0.6209755769
350	0.6205991628
351	0.6202113144
352	0.6196519108
353	0.6190584448
354	0.6185035571
355	0.6179671356
356	0.6176082264
357	0.6170479235
358	0.6165453686
359	0.6160254676
360	0.6157041533
361	0.6152209041
362	0.6146867282
363	0.6141991418
364	0.6137003895
365	0.6132347855
366	0.6129305097
367	0.6126218491
368	0.6121754224
369	0.6117478234
370	0.6112772025
371	0.6108262298
372	0.6105495472
373	0.6102721437
374	0.6098430414
375	0.60942898
376	0.6091487681
377	0.6087575551
378	0.6084965202
379	0.6081045526
380	0.6077351384
381	0.6074867021
382	0.6071159242
383	0.6067031963
384	0.6064524141
385	0.6062065743
386	0.6059677351
387	0.6055870935
388	0.6052474234
389	0.6049218859
390	0.604696981
391	0.6044689763
392	0.6042489942
393	0.603928785
394	0.6036224504
395	0.6032663281
396	0.6030497093
397	0.6027427336
398	0.6024032645
399	0.6021163031
400	0.6018306358
401	0.6016403949
402	0.6013740229
403	0.6010498273
404	0.6008606517
405	0.6005906134
406	0.6002949001
407	0.6000334218
408	0.5998481399
409	0.5995904193
410	0.5993046754
411	0.5991337439
412	0.5989632379
413	0.5986958123
414	0.5984376189
415	0.5982799308
416	0.5981189145
417	0.5978870934
418	0.5976558158
419	0.5975033398
420	0.5972808072
421	0.5970453092
422	0.5968367304
423	0.5966348902
424	0.5964833006
425	0.5962685253
426	0.5961211594
427	0.5959788257
428	0.5958419361
429	0.5956996468
430	0.5955663951
431	0.595370062
432	0.5952423901
433	0.5950577703
434	0.5948450908
435	0.5946637688
436	0.5945380472
437	0.594336655
438	0.594089755
439	0.5939727848
440	0.5938026449
441	0.5936856052
442	0.5935042138
443	0.593389634
444	0.5932778413
445	0.5931193826
446	0.5929173631
447	0.5928090365
448	0.5926561936
449	0.5925457509
450	0.5924010201
451	0.5922988097
452	0.5921286072
453	0.591966186
454	0.5918683905
455	0.5917300092
456	0.5916295659
457	0.5914769725
458	0.5913422311
459	0.5912495182
460	0.5911210311
461	0.5909973208
462	0.5908675808
463	0.5907250343
464	0.5906048177
465	0.590518613
466	0.590429579
467	0.59031683
468	0.5901796897
469	0.5900992728
470	0.5899890515
471	0.5898638555
472	0.5897497903
473	0.5896283135
474	0.5895526535
475	0.5894432481
476	0.5893684889
477	0.5892633228
478	0.5891500203
479	0.5890482572
480	0.5889486322
481	0.5888789847
482	0.588781984
483	0.5887156626
484	0.5886465991
485	0.588543032
486	0.5884536768
487	0.5883631645
488	0.5882751299
489	0.5881744829
490	0.5880765431
491	0.5880121464
492	0.5879305208
493	0.5878718018
494	0.5877892181
495	0.5877307111
496	0.5876192746
497	0.5875322889
498	0.5874740042
499	0.5874193694
500	0.5873388907
501	0.5872638115
502	0.5872088699
503	0.5871592433
504	0.587105127
505	0.587027673
506	0.586976061
507	0.586907532
508	0.586856823
509	0.5867874646
510	0.5867193418
511	0.5866703663
512	0.586619759
513	0.5865737496
514	0.5865102314
515	0.5864628667
516	0.5863994901
517	0.5863363714
518	0.5862663334
519	0.5862087312
520	0.5861501601
521	0.5861055178
522	0.5860512102
523	0.5860087259
524	0.5859529161
525	0.5859127386
526	0.5858754952
527	0.585811455
528	0.5857508509
529	0.5857139745
530	0.5856637066
531	0.5856094674
532	0.5855519285
533	0.5855143306
534	0.5854658169
535	0.5854328952
536	0.5853858356
537	0.5853379596
538	0.5852912157
539	0.5852289826
540	0.5851951253
541	0.585160404
542	0.585124343
543	0.5850778403
544	0.5850434089
545	0.5850133844
546	0.5849688031
547	0.5849380294
548	0.5848900894
549	0.5848482122
550	0.5848043593
551	0.5847734911
552	0.584743116
553	0.5847129332
554	0.5846731379
555	0.5846445572
556	0.5846160402
557	0.5845794623
558	0.5845424093
559	0.5845055519
560	0.5844776745
561	0.5844471724
562	0.5844193516
563	0.5843939177
564	0.5843556441
565	0.584330897
566	0.5842945732
567	0.5842713632
568	0.5842333355
569	0.5842001067
570	0.5841678927
571	0.5841428571
572	0.5841090035
573	0.5840830642
574	0.5840514809
575	0.5840260281
576	0.5839963782
577	0.5839612854
578	0.5839383763
579	0.5839088437
580	0.5838871201
581	0.5838574797
582	0.5838248341
583	0.5837916872
584	0.5837691121
585	0.5837477471
586	0.5837246252
587	0.5836883938
588	0.5836669332
589	0.5836379781
590	0.5836105923
591	0.5835838399
592	0.5835641403
593	0.583545355
594	0.5835190228
595	0.5834922556
596	0.5834728228
597	0.5834513661
598	0.5834207569
599	0.5834024808
600	0.5833805902
601	0.5833561381
602	0.5833313486
603	0.5833079318
604	0.5832859154
605	0.5832665607
606	0.5832392873
607	0.5832128521
608	0.5831922998
609	0.5831673408
610	0.583142648
611	0.5831211913
612	0.5830981687
613	0.583074437
614	0.5830526206
615	0.5830340807
616	0.5830132351
617	0.5829942509
618	0.582974789
619	0.5829537543
620	0.5829313606
621	0.5829105112
622	0.5828911995
623	0.5828735758
624	0.5828577178
625	0.5828347396
626	0.5828143932
627	0.5827980007
628	0.5827815623
629	0.5827639652
630	0.5827421086
631	0.5827242389
632	0.5827062879
633	0.5826883773
634	0.582673326
635	0.5826530091
636	0.5826364844
637	0.5826161498
638	0.5825973077
639	0.5825775849
640	0.5825595528
641	0.5825419717
642	0.5825234114
643	0.5825061524
644	0.5824902252
645	0.5824693131
646	0.582452249
647	0.5824352907
648	0.5824145014
649	0.5823991681
650	0.5823817246
651	0.5823672505
652	0.5823509591
653	0.58233651
654	0.5823192377
655	0.5823042277
656	0.5822900974
657	0.5822754526
658	0.5822610622
659	0.5822468693
660	0.5822262717
661	0.5822113082
662	0.5821927694
663	0.5821754459
664	0.5821628524
665	0.582147899
666	0.5821323628
667	0.5821177175
668	0.5821004206
669	0.5820803157
670	0.5820627757
671	0.5820469442
672	0.582030649
673	0.5820160363
674	0.5820017526
675	0.5819840359
676	0.581967965
677	0.5819533001
678	0.5819364857
679	0.5819209171
680	0.5819092464
681	0.5818971641
682	0.5818829155
683	0.5818677992
684	0.5818525307
685	0.5818400601
686	0.5818269658
687	0.5818125434
688	0.5817970814
689	0.5817843685
690	0.5817702765
691	0.581752797
692	0.5817372544
693	0.5817221895
694	0.5817051941
695	0.5816926421
696	0.5816778068
697	0.5816603596
698	0.5816451204
699	0.581629112
